reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn25131	cosubstrate:CO2	low	2.1.1.196	MI:C:1/O:2|CI:-1	C:+1,O:+2	False		True	1 CO2 -> reactants	(1) S-Adenosyl-L-methionine + (1) Cobalt-precorrin 7 <=> (1) CO2 + (1) S-Adenosyl-homocysteine + (1) H+ + (1) cobalt-precorrin-8x	(1) S-Adenosyl-L-methionine + (1) Cobalt-precorrin 7 <=> (1) S-Adenosyl-homocysteine + (1) H+ + (1) cobalt-precorrin-8x	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00011:0:""CO2"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"";1:cpd25541:0:""cobalt-precorrin-8x"""	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"";1:cpd25541:0:""cobalt-precorrin-8x"""
rxn04186	cosubstrate:PPi	low	4.2.3.42	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	False		True	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	(1) syn-Copalyl diphosphate <=> (1) Aphidicolan-16beta-ol	(1) syn-Copalyl diphosphate + (1) H2O <=> (1) Aphidicolan-16beta-ol + (1) PPi + (1) H+	"-1:cpd08700:0:""syn-Copalyl diphosphate"";1:cpd08688:0:""Aphidicolan-16beta-ol"""	"-1:cpd08700:0:""syn-Copalyl diphosphate"";1:cpd08688:0:""Aphidicolan-16beta-ol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn04283	cosubstrate:PPi	low	4.2.3.-	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	False		True	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	(1) Geranyldiphosphate <=> (1) (L)-alpha-Terpineol	(1) Geranyldiphosphate + (1) H2O <=> (1) (L)-alpha-Terpineol + (1) PPi + (1) H+	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd08247:0:""(L)-alpha-Terpineol"""	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd08247:0:""(L)-alpha-Terpineol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11881	cosubstrate:PPi	low	4.2.3.-	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	False		True	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	(1) Farnesyldiphosphate <=> (1) Levomenol	(1) Farnesyldiphosphate + (1) H2O <=> (1) Levomenol + (1) PPi + (1) H+	"-1:cpd00350:0:""Farnesyldiphosphate"";1:cpd06515:0:""Levomenol"""	"-1:cpd00350:0:""Farnesyldiphosphate"";1:cpd06515:0:""Levomenol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn22536	cosubstrate:PPi	low	3.1.3.-	MI:H:-2/O:6/P:2|CI:-4	H:-2,O:+6,P:+2,charge:-4	False		True	1 PPi -> reactants; 1 H2O -> products; 1 H+ -> products	(2) H2O <=> (2) Phosphate	(1) H2O + (1) PPi <=> (2) Phosphate + (1) H+	"-2:cpd00001:0:""H2O"";2:cpd00009:0:""Phosphate"""	"-1:cpd00001:0:""H2O"";2:cpd00009:0:""Phosphate"";-1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn33969	cosubstrate:PPi	low	3.5.4.16	MI:H:-2/O:-6/P:-2	H:-2,O:-6,P:-2	False		True	1 PPi -> products; 1 H2O -> reactants; 3 H+ -> products	(1) H2O + (1) GTP <=> (1) Formate + (1) Dihydroneopterin phosphate	(2) H2O + (1) GTP <=> (1) Formate + (1) Dihydroneopterin phosphate + (1) PPi + (3) H+	"-1:cpd00001:0:""H2O"";-1:cpd00038:0:""GTP"";1:cpd00047:0:""Formate"";1:cpd03521:0:""Dihydroneopterin phosphate"""	"-2:cpd00001:0:""H2O"";-1:cpd00038:0:""GTP"";1:cpd00047:0:""Formate"";1:cpd03521:0:""Dihydroneopterin phosphate"";1:cpd00012:0:""PPi"";3:cpd00067:0:""H+"""
rxn01915	cosubstrate:Pi	low	2.4.2.16	MI:O:-3/P:-1|CI:2	O:-3,P:-1,charge:+1	False		True	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	(1) Phosphate + (1) Urate D-ribonucleotide <=> (1) Urate + (1) Ribose 1-phosphate	(1) Urate D-ribonucleotide + (1) H2O <=> (1) Urate + (1) Ribose 1-phosphate + (1) H+	"-1:cpd00009:0:""Phosphate"";-1:cpd02110:0:""Urate D-ribonucleotide"";1:cpd00300:0:""Urate"";1:cpd00475:0:""Ribose 1-phosphate"""	"-1:cpd02110:0:""Urate D-ribonucleotide"";1:cpd00300:0:""Urate"";1:cpd00475:0:""Ribose 1-phosphate"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn33850	cosubstrate:Pi	low	6.4.1.1	MI:H:-2/O:-4/P:-1|CI:1	H:-2,O:-4,P:-1,charge:+1	False		True	1 Pi -> products; 1 H+ -> products	(1) ATP + (1) Pyruvate + (1) H2CO3 <=> (1) ADP + (1) Oxaloacetate	(1) ATP + (1) Pyruvate + (1) H2CO3 <=> (1) ADP + (1) Oxaloacetate + (1) Pi + (1) H+	"-1:cpd00002:0:""ATP"";-1:cpd00020:0:""Pyruvate"";-1:cpd00242:0:""H2CO3"";1:cpd00008:0:""ADP"";1:cpd00032:0:""Oxaloacetate"""	"-1:cpd00002:0:""ATP"";-1:cpd00020:0:""Pyruvate"";-1:cpd00242:0:""H2CO3"";1:cpd00008:0:""ADP"";1:cpd00032:0:""Oxaloacetate"";1:cpd00009:0:""Pi"";1:cpd00067:0:""H+"""
rxn33854	cosubstrate:Pi	low	6.2.1.5	MI:H:-1/O:-4/P:-1|CI:2	H:-1,O:-4,P:-1,charge:+2	False		True	1 Pi -> products	(1) ATP + (1) CoA + (1) Succinate <=> (1) ADP + (1) Succinyl-CoA	(1) ATP + (1) CoA + (1) Succinate <=> (1) ADP + (1) Succinyl-CoA + (1) Pi	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd00036:0:""Succinate"";1:cpd00008:0:""ADP"";1:cpd00078:0:""Succinyl-CoA"""	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd00036:0:""Succinate"";1:cpd00008:0:""ADP"";1:cpd00078:0:""Succinyl-CoA"";1:cpd00009:0:""Pi"""
rxn33855	cosubstrate:Pi	low	6.2.1.4	MI:H:-1/O:-4/P:-1|CI:2	H:-1,O:-4,P:-1,charge:+2	False		True	1 Pi -> products	(1) CoA + (1) Succinate + (1) GTP <=> (1) GDP + (1) Succinyl-CoA	(1) CoA + (1) Succinate + (1) GTP <=> (1) GDP + (1) Succinyl-CoA + (1) Pi	"-1:cpd00010:0:""CoA"";-1:cpd00036:0:""Succinate"";-1:cpd00038:0:""GTP"";1:cpd00031:0:""GDP"";1:cpd00078:0:""Succinyl-CoA"""	"-1:cpd00010:0:""CoA"";-1:cpd00036:0:""Succinate"";-1:cpd00038:0:""GTP"";1:cpd00031:0:""GDP"";1:cpd00078:0:""Succinyl-CoA"";1:cpd00009:0:""Pi"""
