reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn11226	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) PPi <=> (2) Phosphate	(1) PPi + (1) H2O <=> (2) Phosphate + (1) H+	"-1:cpd00012:0:""PPi"";2:cpd00009:0:""Phosphate"""	"-1:cpd00012:0:""PPi"";2:cpd00009:0:""Phosphate"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11232	proton_water	deterministic	null	MI:H:-3/O:-1|CI:-2	H:-3,O:-1,charge:-1	False		True	1 H2O -> products; 1 H+ -> products	(2) H2O + (1) GTP <=> (1) Formate + (1) 7,8-Dihydroneopterin 3'-triphosphate	(1) H2O + (1) GTP <=> (1) Formate + (1) 7,8-Dihydroneopterin 3'-triphosphate + (1) H+	"-2:cpd00001:0:""H2O"";-1:cpd00038:0:""GTP"";1:cpd00047:0:""Formate"";1:cpd02978:0:""7,8-Dihydroneopterin 3'-triphosphate"""	"-1:cpd00001:0:""H2O"";-1:cpd00038:0:""GTP"";1:cpd00047:0:""Formate"";1:cpd02978:0:""7,8-Dihydroneopterin 3'-triphosphate"";1:cpd00067:0:""H+"""
rxn11251	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) ATP + (1) L-Alanine + (1) UDP-MurNAc <=> (1) H2O + (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanine	(1) ATP + (1) L-Alanine + (1) UDP-MurNAc <=> (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanine + (1) H+	"-1:cpd00002:0:""ATP"";-1:cpd00035:0:""L-Alanine"";-1:cpd00773:0:""UDP-MurNAc"";1:cpd00001:0:""H2O"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd00890:0:""UDP-N-acetylmuramoyl-L-alanine"""	"-1:cpd00002:0:""ATP"";-1:cpd00035:0:""L-Alanine"";-1:cpd00773:0:""UDP-MurNAc"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd00890:0:""UDP-N-acetylmuramoyl-L-alanine"";1:cpd00067:0:""H+"""
rxn11252	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) ATP + (1) D-Glutamate + (1) UDP-N-acetylmuramoyl-L-alanine <=> (1) H2O + (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	(1) ATP + (1) D-Glutamate + (1) UDP-N-acetylmuramoyl-L-alanine <=> (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamate + (1) H+	"-1:cpd00002:0:""ATP"";-1:cpd00186:0:""D-Glutamate"";-1:cpd00890:0:""UDP-N-acetylmuramoyl-L-alanine"";1:cpd00001:0:""H2O"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd00525:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamate"""	"-1:cpd00002:0:""ATP"";-1:cpd00186:0:""D-Glutamate"";-1:cpd00890:0:""UDP-N-acetylmuramoyl-L-alanine"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd00525:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamate"";1:cpd00067:0:""H+"""
rxn11253	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) ATP + (1) L-Lysine + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamate <=> (1) H2O + (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine	(1) ATP + (1) L-Lysine + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamate <=> (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine + (1) H+	"-1:cpd00002:0:""ATP"";-1:cpd00039:0:""L-Lysine"";-1:cpd00525:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamate"";1:cpd00001:0:""H2O"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd02861:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine"""	"-1:cpd00002:0:""ATP"";-1:cpd00039:0:""L-Lysine"";-1:cpd00525:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamate"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd02861:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine"";1:cpd00067:0:""H+"""
rxn11254	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) ATP + (1) Ala-Ala + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine <=> (1) H2O + (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine	(1) ATP + (1) Ala-Ala + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine <=> (1) ADP + (1) Phosphate + (1) UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine + (1) H+	"-1:cpd00002:0:""ATP"";-1:cpd00731:0:""Ala-Ala"";-1:cpd02861:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine"";1:cpd00001:0:""H2O"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd02943:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine"""	"-1:cpd00002:0:""ATP"";-1:cpd00731:0:""Ala-Ala"";-1:cpd02861:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Phosphate"";1:cpd02943:0:""UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine"";1:cpd00067:0:""H+"""
rxn11283	proton_water	deterministic	null	MI:H:-3/O:-1|CI:-1	H:-3,O:-1,charge:-1	False		True	1 H2O -> products; 1 H+ -> products	(1) NH3 + (1) Chorismate <=> (1) Pyruvate + (1) Anthranilate	(1) NH3 + (1) Chorismate <=> (1) Pyruvate + (1) Anthranilate + (1) H2O + (1) H+	"-1:cpd00013:0:""NH3"";-1:cpd00216:0:""Chorismate"";1:cpd00020:0:""Pyruvate"";1:cpd00093:0:""Anthranilate"""	"-1:cpd00013:0:""NH3"";-1:cpd00216:0:""Chorismate"";1:cpd00020:0:""Pyruvate"";1:cpd00093:0:""Anthranilate"";1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11356	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) ATP + (1) GTP + (1) Sulfate <=> (1) Phosphate + (1) PPi + (1) GDP + (1) APS	(1) ATP + (1) GTP + (1) Sulfate + (1) H2O <=> (1) Phosphate + (1) PPi + (1) GDP + (1) APS + (1) H+	"-1:cpd00002:0:""ATP"";-1:cpd00038:0:""GTP"";-1:cpd00048:0:""Sulfate"";1:cpd00009:0:""Phosphate"";1:cpd00012:0:""PPi"";1:cpd00031:0:""GDP"";1:cpd00193:0:""APS"""	"-1:cpd00002:0:""ATP"";-1:cpd00038:0:""GTP"";-1:cpd00048:0:""Sulfate"";1:cpd00009:0:""Phosphate"";1:cpd00012:0:""PPi"";1:cpd00031:0:""GDP"";1:cpd00193:0:""APS"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11359	proton_water	deterministic	null	MI:O:-1|CI:2	O:-1,charge:+2	False		True	1 H2O -> products; 2 H+ -> reactants	(1) mycolate (2 cyclopropanated rings) + (1) M_Polyprenyl_mannose <=> (1) H+ + (1) M_PPM_mycolate___2_cyclopropanated_rings	(1) mycolate (2 cyclopropanated rings) + (1) M_Polyprenyl_mannose + (1) H+ <=> (1) M_PPM_mycolate___2_cyclopropanated_rings + (1) H2O	"-1:cpd16001:0:""mycolate (2 cyclopropanated rings)"";-1:cpd16246:0:""M_Polyprenyl_mannose"";1:cpd00067:0:""H+"";1:cpd16247:0:""M_PPM_mycolate___2_cyclopropanated_rings"""	"-1:cpd16001:0:""mycolate (2 cyclopropanated rings)"";-1:cpd16246:0:""M_Polyprenyl_mannose"";-1:cpd00067:0:""H+"";1:cpd16247:0:""M_PPM_mycolate___2_cyclopropanated_rings"";1:cpd00001:0:""H2O"""
rxn11360	proton_water	deterministic	null	MI:H:-1/O:-1|CI:1	H:-1,O:-1,charge:+1	False		True	1 H2O -> products; 1 H+ -> reactants	(1) methoxy mycolate (2 cyclopropanated rings) + (1) M_Polyprenyl_mannose <=> (1) M_PPM_methoxy_mycolate__2_cyclopropanated_rings	(1) methoxy mycolate (2 cyclopropanated rings) + (1) M_Polyprenyl_mannose + (1) H+ <=> (1) M_PPM_methoxy_mycolate__2_cyclopropanated_rings + (1) H2O	"-1:cpd15991:0:""methoxy mycolate (2 cyclopropanated rings)"";-1:cpd16246:0:""M_Polyprenyl_mannose"";1:cpd16248:0:""M_PPM_methoxy_mycolate__2_cyclopropanated_rings"""	"-1:cpd15991:0:""methoxy mycolate (2 cyclopropanated rings)"";-1:cpd16246:0:""M_Polyprenyl_mannose"";1:cpd16248:0:""M_PPM_methoxy_mycolate__2_cyclopropanated_rings"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
