id	status	bucket	n_species	n_generic	elem_imbalance	charge_imbalance	is_transport
rxn01445	OK	OK	4	0		0.0	0
rxn01446	OK	OK	4	0		0.0	0
rxn01447	OK	OK	5	0		0.0	0
rxn01448	OK	OK	5	0		0.0	0
rxn01449	OK	OK	5	0		0.0	0
rxn01450	OK	OK	4	0		0.0	0
rxn01451	OK	OK	5	0		0.0	0
rxn01452	OK	OK	5	0		0.0	0
rxn01453	OK	OK	5	0		0.0	0
rxn01454	OK	OK	6	0		0.0	0
rxn01455	OK	OK	5	0		0.0	0
rxn01456	OK	OK	6	0		0.0	0
rxn01457	OK	OK	2	0		0.0	0
rxn01458	OK	OK	4	0		0.0	0
rxn01459	OK	OK	6	0		0.0	0
rxn01460	OK	OK	4	0		0.0	0
rxn01461	OK	OK	4	0		0.0	0
rxn01462	OK	OK	4	0		0.0	0
rxn01463	OK	OK	7	0		0.0	0
rxn01464	OK	OK	4	0		0.0	0
rxn01465	OK	OK	4	0		0.0	0
rxn01466	OK	OK	5	0		0.0	0
rxn01467	OK	OK	5	0		0.0	0
rxn01468	OK	OK	5	0		0.0	0
rxn01469	OK	OK	2	0		0.0	0
rxn01470	MI:H:-2/O:-5/P:-2|CI:2	F_heavy_imbalance	2	0	"{""H"": -2.0, ""O"": -5.0, ""P"": -2.0}"	2.0	0
rxn01471	OK	OK	4	0		0.0	0
rxn01472	OK	OK	4	0		0.0	0
rxn01473	OK	OK	4	0		0.0	0
rxn01474	OK	OK	5	0		0.0	0
rxn01475	OK	OK	5	0		0.0	0
rxn01476	OK	OK	4	0		0.0	0
rxn01477	OK	OK	3	0		0.0	0
rxn01478	OK	OK	5	0		0.0	0
rxn01479	OK	OK	4	0		0.0	0
rxn01480	OK	OK	5	0		0.0	0
rxn01481	OK	OK	4	0		0.0	0
rxn01482	OK	OK	4	0		0.0	0
rxn01483	OK	OK	5	0		0.0	0
rxn01484	OK	OK	4	0		0.0	0
rxn01485	OK	OK	2	0		0.0	0
rxn01486	OK	OK	5	0		0.0	0
rxn01487	OK	OK	5	0		0.0	0
rxn01488	OK	OK	4	0		0.0	0
rxn01489	OK	OK	4	0		0.0	0
rxn01490	OK	OK	2	0		0.0	0
rxn01491	OK	OK	4	0		0.0	0
rxn01492	OK	OK	5	0		0.0	0
rxn01494	OK	OK	4	0		0.0	0
rxn01495	OK	OK	4	0		0.0	0
rxn01496	OK	OK	4	0		0.0	0
rxn01497	OK	OK	4	0		0.0	0
rxn01498	OK	OK	3	0		0.0	0
rxn01499	OK	OK	4	0		0.0	0
rxn01500	OK	OK	6	0		0.0	0
rxn01501	OK	OK	6	0		0.0	0
rxn01502	OK	OK	5	0		0.0	0
rxn01503	OK	OK	4	0		0.0	0
rxn01504	OK	OK	3	0		0.0	0
rxn01505	OK	OK	2	0		0.0	0
rxn01506	OK	OK	2	0		0.0	0
rxn01507	OK	OK	4	0		0.0	0
rxn01508	OK	OK	5	0		0.0	0
rxn01509	OK	OK	5	0		0.0	0
rxn01510	OK	OK	5	0		0.0	0
rxn01511	OK	OK	5	0		0.0	0
rxn01512	OK	OK	4	0		0.0	0
rxn01513	OK	OK	5	0		0.0	0
rxn01514	OK	OK	5	0		0.0	0
rxn01515	OK	OK	5	0		0.0	0
rxn01516	OK	OK	5	0		0.0	0
rxn01517	OK	OK	5	0		0.0	0
rxn01518	OK	OK	5	0		0.0	0
rxn01519	OK	OK	5	0		0.0	0
rxn01520	OK	OK	4	0		0.0	0
rxn01521	OK	OK	4	0		0.0	0
rxn01522	CI:1	OK	6	0		0.0	0
rxn01523	CI:-1	OK	6	0		0.0	0
rxn01524	CI:1	OK	6	0		0.0	0
rxn01525	OK	OK	4	0		0.0	0
rxn01526	MI:C:13/H:22	F_heavy_imbalance	2	0	"{""C"": 13.0, ""H"": 22.0}"	0.0	0
rxn01527	OK	OK	4	0		0.0	0
rxn01528	OK	OK	4	0		0.0	0
rxn01529	OK	OK	6	0		0.0	0
rxn01530	OK	OK	5	0		0.0	0
rxn01531	OK	OK	6	0		0.0	0
rxn01532	OK	OK	2	0		0.0	0
rxn01533	MI:O:-1/R:1	A_no_formula	2	1	"{""C"": -20.0, ""H"": -28.0, ""O"": -1.0}"	0.0	0
rxn01534	MI:O:-1/R:1	A_no_formula	2	1	"{""C"": -20.0, ""H"": -28.0, ""O"": -1.0}"	0.0	0
rxn01535	CI:2	E_charge_only	3	0		2.0	0
rxn01536	OK	OK	6	0		0.0	0
rxn01537	CI:1	OK	5	0		0.0	0
rxn01538	CI:1	OK	5	0		0.0	0
rxn01539	CI:1	OK	4	0		0.0	0
rxn01540	OK	OK	5	0		0.0	0
rxn01541	OK	OK	4	0		0.0	0
rxn01542	OK	OK	5	0		0.0	0
rxn01543	OK	OK	4	0		0.0	0
rxn01544	OK	OK	5	0		0.0	0
rxn01545	OK	OK	4	0		0.0	0
rxn01546	OK	OK	5	0		0.0	0
rxn01547	OK	OK	5	0		0.0	0
rxn01548	OK	OK	4	0		0.0	0
rxn01549	OK	OK	4	0		0.0	0
rxn01550	OK	OK	6	0		0.0	0
rxn01551	OK	OK	5	0		0.0	0
rxn01552	CI:1	OK	7	0		0.0	0
rxn01553	CI:1	OK	7	0		0.0	0
rxn01554	OK	OK	5	0		0.0	0
rxn01555	CI:1	OK	4	0		0.0	0
rxn01556	OK	OK	5	0		0.0	0
rxn01557	CI:2	OK	5	0		0.0	0
rxn01558	CI:2	OK	5	0		0.0	0
rxn01559	CI:-1	OK	7	0		0.0	0
rxn01560	OK	OK	4	0		0.0	0
rxn01561	OK	OK	4	0		0.0	0
rxn01562	OK	OK	5	0		0.0	0
rxn01563	OK	OK	5	0		0.0	0
rxn01564	OK	OK	6	0		0.0	0
rxn01565	OK	OK	5	0		0.0	0
rxn01566	OK	OK	5	0		0.0	0
rxn01567	OK	OK	7	0		0.0	0
rxn01568	OK	OK	4	0		0.0	0
rxn01569	CI:-1	A_no_formula	5	2	"{""C"": 4.0, ""H"": 3.0, ""N"": 1.0, ""O"": 3.0}"	0.0	0
rxn01570	OK	OK	6	0		0.0	0
rxn01571	OK	OK	7	0		0.0	0
rxn01572	OK	OK	4	0		0.0	0
rxn01573	OK	OK	7	0		0.0	0
rxn01574	OK	OK	6	0		0.0	0
rxn01575	OK	OK	4	0		0.0	0
rxn01577	OK	OK	4	0		0.0	0
rxn01578	CI:1	OK	5	0		0.0	0
rxn01579	CI:1	OK	5	0		0.0	0
rxn01580	OK	OK	5	0		0.0	0
rxn01581	OK	OK	5	0		0.0	0
rxn01582	OK	OK	5	0		0.0	0
rxn01583	OK	OK	5	0		0.0	0
rxn01584	OK	OK	5	0		0.0	0
rxn01585	OK	OK	7	0		0.0	0
rxn01586	OK	OK	5	0		0.0	0
