id	orig_status	residual	co_substrate	patch	confidence	ec	definition	corrected_stoichiometry
rxn08953	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	review	null	(1) CMP-KDO[0] + (1) Lipid A disaccharide[0] => (1) CMP[0] + (1) H+[0] + (1) KDO-lipid IV(A)[0]	"-1:cpd02546:0:""CMP-KDO"";-1:cpd03002:0:""Lipid A disaccharide"";1:cpd00046:0:""CMP"";1:cpd00067:0:""H+"";1:cpd03585:0:""KDO-lipid IV(A)"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn11092	MI:O:3/P:1|CI:-1	O:+3,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H2O -> products; 1 H+ -> reactants	review	null	(1) ATP[0] + (1) ribose-5-phosphate[0] => (1) ADP[0] + (1) PRPP[0]	"-1:cpd00002:0:""ATP"";-1:cpd00101:0:""ribose-5-phosphate"";1:cpd00008:0:""ADP"";1:cpd00103:0:""PRPP"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn11371	MI:H:1/O:4/P:1|CI:-2	H:+1,O:+4,P:+1,charge:-2	Pi	1 Pi -> reactants	review	null	(1) M_trehalose_methoxy_mycolate_phosphate_1_cyclopropanated_ring[0] <=> (1) Phosphate[0] + (1) M_tr	"-1:cpd16273:0:""M_trehalose_methoxy_mycolate_phosphate_1_cyclopropanated_ring"";1:cpd16254:0:""M_trehalose_methoxy_mycolate__1_cyclopropanated_ring"""
rxn11372	MI:H:1/O:4/P:1|CI:-2	H:+1,O:+4,P:+1,charge:-2	Pi	1 Pi -> reactants	review	null	(1) M_trehalose_keto_mycolate_phosphate_1_cyclopropanated_rings[0] <=> (1) Phosphate[0] + (1) M_treh	"-1:cpd16274:0:""M_trehalose_keto_mycolate_phosphate_1_cyclopropanated_rings"";1:cpd16255:0:""M_trehalose_keto_mycolate__1_cyclopropanated_rings"""
rxn11373	MI:H:1/O:4/P:1|CI:-2	H:+1,O:+4,P:+1,charge:-2	Pi	1 Pi -> reactants	review	null	(1) M_trehalose_keto_mycolate_phosphate_2_cyclopropanated_rings[0] <=> (1) Phosphate[0] + (1) M_treh	"-1:cpd16275:0:""M_trehalose_keto_mycolate_phosphate_2_cyclopropanated_rings"";1:cpd16256:0:""M_trehalose_keto_mycolate__2_cyclopropanated_rings"""
rxn12125	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	review	null	(1) Psilocin[0] => (1) Psilocybin[0]	"-1:cpd05227:0:""Psilocin"";1:cpd04744:0:""Psilocybin"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn15678	MI:H:-8/O:-7/P:-1|CI:1	H:-8,O:-7,P:-1,charge:+1	Pi	1 Pi -> products; 3 H2O -> products; 1 H+ -> products	review	null	(1) L-Glutamine[0] + (1) Glyceraldehyde3-phosphate[0] + (1) D-Ribulose5-phosphate[0] <= (1) Pyridoxa	"-1:cpd00053:0:""L-Glutamine"";-1:cpd00102:0:""Glyceraldehyde3-phosphate"";-1:cpd00171:0:""D-Ribulose5-phosphate"";1:cpd00016:0:""Pyridoxal phosphate"";1:cpd00023:0:""L-Glutamate"";1:cpd00009:0:""Pi"";3:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn30849	MI:H:2/O:4/P:1|CI:-1	H:+2,O:+4,P:+1,charge:-1	Pi	1 Pi -> reactants; 1 H+ -> reactants	review	null	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) (L)-alpha-Terpineol[0]	"-1:cpd23795:0:""(E)-geranyl phosphate"";1:cpd00012:0:""PPi"";1:cpd08247:0:""(L)-alpha-Terpineol"";-1:cpd00009:0:""Pi"";-1:cpd00067:0:""H+"""
rxn34104	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Valine[0] <= (1) ADP[0] + (1) Valine[1]	"-1:cpd00002:0:""ATP"";-1:cpd15141:0:""Valine"";1:cpd00008:0:""ADP"";1:cpd15141:1:""Valine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34105	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Valine[1] <= (1) ADP[0] + (1) Valine[0]	"-1:cpd00002:0:""ATP"";-1:cpd15141:1:""Valine"";1:cpd00008:0:""ADP"";1:cpd15141:0:""Valine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34107	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Alanine[1] <= (1) ADP[0] + (1) Alanine[0]	"-1:cpd00002:0:""ATP"";-1:cpd01003:1:""Alanine"";1:cpd00008:0:""ADP"";1:cpd01003:0:""Alanine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34108	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Glycine[0] <= (1) ADP[0] + (1) Glycine[1]	"-1:cpd00002:0:""ATP"";-1:cpd00033:0:""Glycine"";1:cpd00008:0:""ADP"";1:cpd00033:1:""Glycine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34109	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Glycine[1] <= (1) ADP[0] + (1) Glycine[0]	"-1:cpd00002:0:""ATP"";-1:cpd00033:1:""Glycine"";1:cpd00008:0:""ADP"";1:cpd00033:0:""Glycine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34112	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Aspartate[0] <= (1) ADP[0] + (1) Aspartate[1]	"-1:cpd00002:0:""ATP"";-1:cpd19181:0:""Aspartate"";1:cpd00008:0:""ADP"";1:cpd19181:1:""Aspartate"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34113	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Aspartate[1] <= (1) ADP[0] + (1) Aspartate[0]	"-1:cpd00002:0:""ATP"";-1:cpd19181:1:""Aspartate"";1:cpd00008:0:""ADP"";1:cpd19181:0:""Aspartate"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34114	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Glutamine[0] <= (1) ADP[0] + (1) Glutamine[1]	"-1:cpd00002:0:""ATP"";-1:cpd00253:0:""Glutamine"";1:cpd00008:0:""ADP"";1:cpd00253:1:""Glutamine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34115	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Glutamine[1] <= (1) ADP[0] + (1) Glutamine[0]	"-1:cpd00002:0:""ATP"";-1:cpd00253:1:""Glutamine"";1:cpd00008:0:""ADP"";1:cpd00253:0:""Glutamine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34119	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) L-Tryptophan[1] <= (1) ADP[0] + (1) L-Tryptophan[0]	"-1:cpd00002:0:""ATP"";-1:cpd00065:1:""L-Tryptophan"";1:cpd00008:0:""ADP"";1:cpd00065:0:""L-Tryptophan"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn34120	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	review	null	(1) ATP[0] + (1) Leucine[0] <= (1) ADP[0] + (1) Leucine[1]	"-1:cpd00002:0:""ATP"";-1:cpd15143:0:""Leucine"";1:cpd00008:0:""ADP"";1:cpd15143:1:""Leucine"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
