id	class	signature	redox	ec_class	n_species	definition
rxn39893	skeleton:C	C:-1,H:-4,O:-1			2	(1) Methadone[0] <= (1) 2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine[0]
rxn39894	skeleton:C	C:-1,H:-3,charge:-1			2	(1) 2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine[0] => (1) EMDP[0]
rxn39899	skeleton:P	H:-10,O:+2,P:-2,charge:+2			2	(1) Copalyl diphosphate[0] <=> (1) Ginkgolide A[0]
rxn39902	charge_only	charge:-2			3	(2) H+[0] + (1) Cathinone[0] <= (1) (-)-Norephedrine[0]
rxn39913	skeleton:N	H:+4,N:+1,O:-1,charge:+1			2	(1) dTDP 1-ester with 2,6-dideoxy-L-erythro-hexopyranos-3-ulose[0] <= (1) dTDP-L-ristosamine[0]
rxn39914	skeleton:C	C:+2,H:+4			2	(1) dTDP-L-ristosamine[0] <= (1) dTDP-L-megosamine[0]
rxn40191	oxygen_only	O:+1			2	(1) Paspaline B[0] => (1) Terpendole G[0]
rxn40197	charge_only	charge:+2			3	(1) Terpendole C[0] <=> (2) H+[0] + (1) Terpendole K[0]
rxn40203	skeleton:S	H:-3,S:-2,charge:-1		1	3	(1) H2[0] + (1) Polysulfide[0] <=> (1) H2S[0]
rxn40206	skeleton:S	H:+2,O:-1,S:+1			2	(1) 7-oxoheptanoic acid[0] <= (1) 7-mercaptoheptanoic acid[0]
rxn40212	H_O_charge	H:-2,O:+1			2	(1) Terpendole E[0] => (1) Terpendole G[0]
rxn40213	skeleton:C	C:-1,H:-2,O:-1			2	(1) Terpendole G[0] <=> (1) Terpendole B[0]
rxn40216	skeleton:C,N,S	C:+10,H:+15,N:+3,O:+6,S:+1,charge:-2			5	(1) L-Selenocysteine[0] + (1) Glutaredoxin[0] <=> (1) Sulfite[0] + (1) L-Cysteine[0] + (1) Glutaredoxin disulfide[0]
rxn40217	charge_only	charge:+2			3	(1) beta-Paxitriol[0] => (2) H+[0] + (1) Paxilline[0]
rxn40271	skeleton:C	C:-2,H:-2,O:+1			2	(1) Dihydromethylsterigmatocystin[0] => (1) Aflatoxin G2[0]
rxn40292	skeleton:S	H:+3,S:+2,charge:+1	NADP+NADPH	1	5	(1) NADP[0] + (1) H2S[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Polysulfide[0]
rxn40326	skeleton:C	C:+10,H:+10			2	(1) beta-Paxitriol[0] <=> (1) Penitrem D[0]
rxn40327	skeleton:C	C:+10,H:+12			2	(1) beta-Paxitriol[0] <= (1) Janthitrem C[0]
rxn40328	oxygen_only	O:+1			2	(1) 12-Demethyl-11,12-dehydropaspaline[0] <=> (1) Terpendole B[0]
rxn40329	oxygen_only	O:+1			2	(1) Terpendole B[0] <=> (1) 13-Desoxyterpendole I[0]
rxn40428	skeleton:C,N	C:-8,H:-9,N:-1,O:-4			3	(1) Pyridoxal phosphate[0] + (1) L-Histidine[0] <= (1) 4-Amino-5-phosphomethyl-2-methylpyrimidine[0]
rxn40470	oxygen_only	O:+1			2	(1) C20819[0] => (1) 2,3-Dihydrothienamycin[0]
rxn40474	charge_only	charge:+2			3	(1) C20819[0] => (2) H+[0] + (1) NS-5[0]
