id,name,abbreviation,ec_numbers,reversibility,deltag,deltagerr,definition,is_transport,rxn_smiles
rxn00024,"1,2-Benzenediol:oxygen oxidoreductase",R00031,['1.10.3.1'],>,-125.98,2.59,(1) O2[0] + (2) L-Tyrosine[0] => (2) L-Dopa[0],0,O=O.[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-]
rxn00025,"beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)",R00032,"['1.13.11.63', '1.14.99.36']",>,-86.46,1.22,(1) O2[0] + (1) beta-Carotene[0] => (2) Retinal[0],0,O=O.CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1>>CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1.CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
rxn00026,thiamine:oxygen 5-oxidoreductase,R00033,['1.1.3.23'],>,-26.84,1.03,(1) O2[0] + (1) Thiamin[0] => (1) H2O2[0] + (1) Thiamine aldehyde[0],0,O=O.Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1>>OO.Cc1ncc(C[n+]2csc(CC=O)c2C)c(N)n1
rxn00028,L-ascorbate:oxygen oxidoreductase,R00068,['1.10.3.3'],>,-103.9,3.91,(1) O2[0] + (2) L-Ascorbate[0] => (2) H2O[0] + (2) Dehydroascorbate[0],0,O=O.O=C1O[C@H]([C@@H](O)CO)C(=O)C1O.O=C1O[C@H]([C@@H](O)CO)C(=O)C1O>>O.O.O=C1O[C@H]([C@@H](O)CO)C(=O)C1=O.O=C1O[C@H]([C@@H](O)CO)C(=O)C1=O
rxn00029,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),R00036,['4.2.1.24'],>,-24.58,0.97,(2) 5-Aminolevulinate[0] => (2) H2O[0] + (1) H+[0] + (1) Porphobilinogen[0],0,[NH3+]CC(=O)CCC(=O)[O-].[NH3+]CC(=O)CCC(=O)[O-]>>O.O.[H+].[NH3+]Cc1[nH]cc(CCC(=O)[O-])c1CC(=O)[O-]
rxn00030,4-hydroxy-3-hexanone propanal-lyase (propanal-forming),R00038,['4.1.2.35'],=,-2.83,0.26,(2) Propanal[0] <=> (1) Propioin[0],0,CCC=O.CCC=O>>CCC(=O)C(O)CC
rxn00031,raffinose:raffinose 1F-alpha-D-galactosyltransferase,R00039,['2.4.1.166'],=,0.0,10.63,(2) Melitose[0] <=> (1) Sucrose[0] + (1) 1F-alpha-D-Galactosylraffinose[0],0,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O.OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O>>OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](OC[C@H]2O[C@@](CO)(O[C@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
rxn00032,Choline:oxygen 1-oxidoreductase,Choline:oxygen 1-oxidoreductase,['1.1.3.17'],>,-101.23,0.92,(1) O2[0] + (2) Choline[0] => (2) H2O[0] + (2) Betaine aldehyde[0],0,O=O.C[N+](C)(C)CCO.C[N+](C)(C)CCO>>O.O.C[N+](C)(C)CC=O.C[N+](C)(C)CC=O
rxn00033,4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating),R00042,['1.2.3.13'],>,-159.92,2.75,(1) O2[0] + (2) p-hydroxyphenylpyruvate[0] => (2) CO2[0] + (2) 4-Hydroxyphenylacetate[0],0,O=O.O=C([O-])C(=O)Cc1ccc(O)cc1.O=C([O-])C(=O)Cc1ccc(O)cc1>>O=C=O.O=C=O.O=C([O-])Cc1ccc(O)cc1.O=C([O-])Cc1ccc(O)cc1
rxn00034,"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)",R00043,['1.13.11.43'],>,-87.92,0.79,"(1) O2[0] + (1) 1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene[0] => (2) Vanillin[0]",0,O=O.COc1cc(/C=C/c2ccc(O)c(OC)c2)ccc1O>>COc1cc(C=O)ccc1O.COc1cc(C=O)ccc1O
