compound_id,frequency,name
cpd02431,36,1-Pyrroline-5-carboxylate
cpd00325,36,Progesterone
cpd12508,36,Protein N-pros-phosphohistidine
cpd11822,36,1-Phosphatidyl-myo-inositol
cpd16831,36,thioredoxin-dithiol
cpd22319,36,Aldehydes
cpd25914,36,ubiquinol(9)
cpd28083,36,Reduced-flavodoxins
cpd27744,36,Oxidized-Flavoproteins
cpd25915,36,ubiquinol(10)
cpd08232,36,Ubidecarenone
cpd00246,35,Inosine
cpd00333,35,(E)-Cinnamate
cpd00285,35,Phosphoethanolamine
cpd00275,35,L-Kynurenine
cpd00238,35,Sedoheptulose7-phosphate
cpd00389,35,Biliverdin
cpd00425,35,(CH3)2NH
cpd03389,35,Selenocysteine
cpd19006,35,alpha-D-Glucose 6-phosphate
cpd21904,35,2-Oxo-carboxylates
cpd28078,35,Reduced-adrenal-ferredoxins
cpd27753,35,Oxidized-adrenal-ferredoxins
cpd27686,35,Nucleoside-Monophosphates
cpd00178,34,Acetone
cpd00335,34,Dehydroascorbate
cpd00068,34,ITP
cpd00274,34,Citrulline
cpd00421,34,Triphosphate
cpd00183,34,Sarcosine
cpd00604,34,4-Coumarate
cpd00288,34,D-Glucosamine phosphate
cpd00141,34,Propionate
cpd00249,34,Uridine
cpd00216,34,Chorismate
cpd00207,34,Guanine
cpd00229,34,Glycolaldehyde
cpd00222,34,GLCN
cpd03214,34,Phytyl diphosphate
cpd02357,34,Dopamine
cpd00659,34,Nitrous oxide
cpd00526,34,Cholate
cpd01062,34,Geraniol
cpd00946,34,Undecaprenyl diphospho N-acetyl-glucosamine
cpd15291,34,Ubiquinol-6
cpd02416,34,N-Acetyl-beta-D-glucosamine
cpd26821,34,D-Glucose
cpd23520,34,9-octadecenal
cpd11810,34,N-Terminal amino acid
cpd00220,33,Riboflavin
cpd00191,33,3-Oxopropanoate
cpd00308,33,Malonate
cpd00345,33,5-Methyltetrahydrofolate
cpd00857,33,Provitamin D3
cpd00443,33,ABEE
cpd00398,33,Naringenin
cpd00205,33,K+
cpd11422,33,"1,2-diacyl-sn-glycerol 3-phosphate"
cpd15353,33,2-Demethylmenaquinol 8
cpd15352,33,2-Demethylmenaquinone 8
cpd24366,33,"1,2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine"
cpd00158,32,CELB
cpd00196,32,Acetylphosphate
cpd02295,32,1-4-Dihydroxy-2-naphthoate
cpd05511,32,Cyanidin 3-O-glucoside
cpd15328,32,1-octadec-11-enoyl-sn-glycerol 3-phosphate
cpd16443,32,beta-D-Ribofuranose
cpd17741,32,8-Oxogeranial
cpd27758,32,Oxidized-flavodoxins
cpd26958,32,Diacylglycerides
cpd00291,31,L-Dopa
cpd00090,31,IDP
cpd01476,31,Protoporphyrin
cpd00324,31,MTTL
cpd00278,31,Indolepyruvate
cpd00127,31,Phenol
cpd00374,31,Tyramine
cpd00402,31,CDPglycerol
cpd00387,31,ADPglucose
cpd00154,31,Xylose
cpd00295,31,dGDP
cpd02496,31,1-Palmitoylglycerol 3-phosphate
cpd11456,31,Phosphatidylethanolamine
cpd03587,31,kdo2-lipid a
cpd15329,31,1-octadecanoyl-sn-glycerol 3-phosphate
cpd02090,31,Glycerophosphoglycerol
cpd02077,31,"8,11,14-Icosatrienoate"
cpd27339,31,L-1-PHOSPHATIDYL-ETHANOLAMINE
cpd27149,31,General-Protein-Substrates
cpd28070,31,Reduced-Flavoproteins
cpd43312,31,L-seryl-[protein]
cpd41809,31,L-cysteinyl-[protein]
cpd00199,30,4-Oxobutanoate
cpd00359,30,indol
cpd00171,30,D-Ribulose5-phosphate
cpd00464,30,alpha-Tolualdehyde
cpd00444,30,CDPethanolamine
cpd00248,30,Quinate
cpd00726,30,"1,3-Propanediamine"
cpd00383,30,Shikimate
cpd00791,30,ProtoporphyrinogenIX
cpd02546,30,CMP-KDO
cpd00947,30,LacCer
cpd11466,30,Myristoyl-ACP
cpd11665,30,QH2
cpd16503,30,Plastoquinol-9
cpd26919,30,DOLICHOLP
cpd02434,30,1-Oleoylglycerophosphocholine
cpd27940,30,Protein-L-lysine
cpd24791,30,artemisinic aldehyde
cpd30087,30,1-octadec-9-enoyl-sn-glycerol 3-phosphate
cpd39930,30,an N-acylsphing-4-enine
cpd00114,29,IMP
cpd00180,29,Oxalate
cpd00142,29,Acetoacetate
cpd01155,29,Cadaverine
cpd00702,29,Estradiol
cpd00236,29,D-Erythrose4-phosphate
cpd00314,29,D-Mannitol
cpd00200,29,4MOP
cpd00311,29,Guanosine
cpd00484,29,p-Hydroxybenzaldehyde
cpd00206,29,dCMP
cpd00357,29,TTP
cpd00579,29,Serotonin
cpd00559,29,Supraene
cpd01188,29,Lanosterol
cpd03211,29,15-cis-Phytoene
cpd11463,29,Protein
cpd11677,29,Triglyceride
cpd12844,29,Phytonadiol
cpd15240,29,hexacosanoate
cpd03848,29,Arachidic acid
cpd26936,29,Demethylated-methyl-acceptors
cpd43292,29,L-histidyl-[protein]
cpd01414,28,Tetrathionate
cpd00852,28,beta-Glucogallin
cpd00016,28,Pyridoxal phosphate
cpd00168,28,"2,3-Dihydroxybenzoate"
cpd00475,28,Ribose 1-phosphate
cpd01047,28,Apigenin
cpd00413,28,Glutaryl-CoA
cpd00300,28,Urate
cpd01059,28,Ferulate
cpd01071,28,Luteolin
cpd01042,28,p-Cresol
cpd02438,28,Methyl CoM
cpd08680,28,Abietol
cpd00063,28,Ca2+
cpd12407,28,Dolichyl phosphate D-mannose
cpd15298,28,tetradecenoate
cpd15297,28,Lignoceroyl-CoA
cpd19009,28,alpha-D-Mannose
cpd01157,27,Chitobiose
cpd00489,27,4-Hydroxyphenylacetate
cpd00227,27,L-Homoserine
cpd00722,27,O-Acetyl-L-serine
cpd01675,27,Methylmalonyl-CoA
cpd01024,27,Methane
cpd00151,27,Thymine
cpd00873,27,Nicotinate ribonucleotide
cpd00280,27,D-Galacturonate
cpd00358,27,dUTP
cpd00362,27,Estrone
cpd00832,27,N-Acetyl-D-chondrosamine
cpd03387,27,Selenite
cpd01262,27,Amylotriose
cpd27368,27,L-PHOSPHATIDATE
cpd25193,27,1-18:0-lysoPC
cpd27419,27,Long-Chain-Acyl-ACPs
cpd27411,27,Linoleoyl-groups
cpd43502,27,a ubiquinol
cpd00304,26,Retinal
cpd00382,26,Melitose
cpd00186,26,D-Glutamate
cpd00193,26,APS
cpd03198,26,Melibiose
cpd00276,26,GLUM
cpd00501,26,beta-D-Glucose 1-phosphate
cpd00654,26,Deoxycytidine
cpd00705,26,L-2-Aminoadipate
cpd00407,26,Limonene
cpd00508,26,3MOP
cpd03344,26,Eriodictyol
cpd00452,26,Phenylacetyl-CoA
cpd00751,26,L-Fucose
cpd02625,26,3-Hydroxy-L-1-pyrroline-5-carboxylate
cpd01113,26,Hexanoate
cpd00254,26,Mg
cpd08655,26,Gibberellin A12
cpd11468,26,Dodecanoyl-ACP
cpd11470,26,Octanoyl-ACP
cpd12173,26,Reduced flavodoxin
cpd14548,26,C15812
cpd03035,26,4-methylzymosterol
cpd08021,26,DMSO
cpd16638,26,cis-octadec-9-enoyl-coa
cpd21149,26,N-Acetyl-beta-neuraminate
cpd19168,26,C15602
cpd28037,26,RIBOSE
cpd27814,26,PROT-CYS
cpd21754,26,1-4-alpha-D-Glucan
cpd26896,26,DNA-N
cpd21748,26,"1,2-dihexadecanoyl-sn-glycero-3-phosphocholine"
cpd27424,26,Long-Chain-Fatty-Acids
cpd24792,26,(11R)-dihydroartemisinic aldehyde
cpd27255,26,Holo-ACP-Synthases
cpd29639,26,an_aldehyde
cpd30068,26,"1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))"
cpd30074,26,"1,2-Diacyl-sn-glycerol (1,2-di-(9Z)-octadecenoyl, 18:1(9Z)/18:1(9Z))"
cpd43501,26,a ubiquinone
cpd00381,25,L-Cystine
cpd00279,25,Acetoacetyl-CoA
cpd00318,25,Tryptamine
cpd00867,25,Inositol 1-phosphate
cpd00201,25,10-Formyltetrahydrofolate
cpd00851,25,trans-4-Hydroxy-L-proline
cpd02016,25,N-Ribosylnicotinamide
cpd01743,25,Cerebroside
cpd00233,25,Tetrahydrobiopterin
cpd00646,25,PNP
cpd00895,25,H4MPT
cpd03662,25,n-Butanol
cpd01078,25,Selenide
cpd02733,25,Deoxycholate
cpd03831,25,ADP-L-glycero-D-manno-heptose
cpd04073,25,Vanillate
cpd03148,25,Chlorophyll a
cpd00999,25,Phytol
cpd00034,25,Zn2+
cpd11476,25,hexadecanoyl-acp
cpd12458,25,Stearoyl-[acyl-carrier protein]
cpd14588,25,"9,9'-Di-cis-zeta-carotene"
cpd04654,25,Caffeine
cpd15327,25,1-hexadecanoyl-sn-glycerol 3-phosphate
cpd05267,25,Ribose
cpd03845,25,beta-Cellobiose
cpd19028,25,alpha-D-Ribose 5-phosphate
cpd30750,25,p-Hydroquinone
cpd21006,25,"(2Z,6Z)-Farnesyl diphosphate"
cpd25067,25,1-16:0-2-18:2-phosphatidylcholine
cpd30061,25,"1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(11Z)-octadecenoyl, 16:0/18:1(11Z))"
cpd30062,25,"1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(9Z)-octadecenoyl, 16:0/18:1(9Z))"
cpd30064,25,"1,2-Diacyl-sn-glycerol (1-octadecanoyl,2-(9Z)-octadecenoyl, 18:0/18:1(9Z))"
cpd30067,25,"1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))"
