cpd_id	result_type	field	old_value	new_value	pubchem_cid	strategy	query
cpd00250	MISMATCH	SMILE	CN(CC(=O)[O-])C(N)=[NH2+]	C[N+](=C(N)N)CC(=O)[O-]	7058172	chebi_xref	CHEBI:57947
cpd00250	MISMATCH	InChIKey	CVSVTCORWBXHQV-UHFFFAOYSA-N	WXOFJMWQRNARBH-UHFFFAOYSA-N	7058172	chebi_xref	CHEBI:57947
cpd00250	MISMATCH	InChI	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H4,5,6,8,9)	7058172	chebi_xref	CHEBI:57947
cpd00259	MISMATCH	SMILE	OCC1(O)OC[C@@H](O)[C@@H]1O	C([C@H]([C@@H](C(=O)CO)O)O)O	5289590	chebi_xref	CHEBI:17140
cpd00259	MISMATCH	InChIKey	LQXVFWRQNMEDEE-OVEKKEMJSA-N	ZAQJHHRNXZUBTE-WUJLRWPWSA-N	5289590	chebi_xref	CHEBI:17140
cpd00259	MISMATCH	InChI	InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4+,5?/m1/s1	InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h3,5-8,10H,1-2H2/t3-,5+/m1/s1	5289590	chebi_xref	CHEBI:17140
cpd00265	MISMATCH	SMILE	*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O*)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O*)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O	CCC1=N[C@H]2C[C@@]3([C@H]4C[C@@H]1[C@@H]2CO4)C5=CC=CC=C5N(C3=O)OC	21123652	kegg_xref	G11610
cpd00265	MISMATCH	InChIKey	WMGFVAGNIYUEEP-WUYNJSITSA-N	BIGABVPVCRHEES-NWPJSNQLSA-N	21123652	kegg_xref	G11610
cpd00265	MISMATCH	InChI	InChI=1S/C30H52O26/c31-1-6-11(35)13(37)19(43)28(50-6)55-24-9(4-34)52-27(21(45)16(24)40)48-5-10-25(56-29-20(44)14(38)12(36)7(2-32)51-29)17(41)22(46)30(53-10)54-23-8(3-33)49-26(47)18(42)15(23)39/h6-47H,1-5H2/t6-,7-,8-,9-,10-,11-,12-,13+,14+,15-,16-,17-,18-,19-,20-,21-,22-,23-,24-,25-,26+,27+,28-,29-,30-/m1/s1	InChI=1S/C19H22N2O3/c1-3-14-11-8-17-19(9-15(20-14)12(11)10-24-17)13-6-4-5-7-16(13)21(23-2)18(19)22/h4-7,11-12,15,17H,3,8-10H2,1-2H3/t11-,12+,15+,17-,19+/m1/s1	21123652	kegg_xref	G11610
cpd00271	MISMATCH	SMILE	N#C[Fe-3](C#N)(C#N)(C#N)(C#N)C#N	[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3]	439210	kegg_xref	C00324
cpd00271	MISMATCH	InChIKey	CRWNKXHVYMVLCY-UHFFFAOYSA-N	YAGKRVSRTSUGEY-UHFFFAOYSA-N	439210	kegg_xref	C00324
cpd00271	MISMATCH	InChI	InChI=1S/6CN.Fe/c6*1-2;/q;;;;;;-3	InChI=1S/6CN.Fe/c6*1-2;/q6*-1;+3	439210	kegg_xref	C00324
cpd00306	STEREO_DIFF	SMILE	OC[C@@H](O)[C@H](O)[C@@H](O)CO	C([C@H](C([C@H](CO)O)O)O)O	6912	chebi_xref	CHEBI:17151
cpd00306	STEREO_DIFF	InChIKey	HEBKCHPVOIAQTA-SCDXWVJYSA-N	HEBKCHPVOIAQTA-NGQZWQHPSA-N	6912	chebi_xref	CHEBI:17151
cpd00306	STEREO_DIFF	InChI	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5?	6912	chebi_xref	CHEBI:17151
cpd00361	STEREO_DIFF	SMILE	CC(=O)C(C)O	C[C@@H](C(=O)C)O	447765	chebi_xref	CHEBI:15687
cpd00361	STEREO_DIFF	InChIKey	ROWKJAVDOGWPAT-UHFFFAOYSA-N	ROWKJAVDOGWPAT-VKHMYHEASA-N	447765	chebi_xref	CHEBI:15687
cpd00361	STEREO_DIFF	InChI	InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3	InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3/t3-/m0/s1	447765	chebi_xref	CHEBI:15687
cpd00366	STEREO_DIFF	SMILE	OC[C@@H](O)[C@@H](O)[C@@H](O)CO	C([C@H](C([C@H](CO)O)O)O)O	6912	chebi_xref	CHEBI:15963
cpd00366	STEREO_DIFF	InChIKey	HEBKCHPVOIAQTA-ZXFHETKHSA-N	HEBKCHPVOIAQTA-NGQZWQHPSA-N	6912	chebi_xref	CHEBI:15963
cpd00366	STEREO_DIFF	InChI	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5-	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5?	6912	chebi_xref	CHEBI:15963
cpd00370	MISMATCH	SMILE	O=C1CO[C@@H](CO)[C@H](O)[C@H]1O	C1=C([C@@H]([C@H]([C@@H](O1)CO)O)O)O	439241	kegg_xref	C00478
cpd00370	MISMATCH	InChIKey	OCLOLUFOLJIQDC-ZLUOBGJFSA-N	CXKKSSKKIOZUNR-ZLUOBGJFSA-N	439241	kegg_xref	C00478
cpd00370	MISMATCH	InChI	InChI=1S/C6H10O5/c7-1-4-6(10)5(9)3(8)2-11-4/h4-7,9-10H,1-2H2/t4-,5-,6-/m0/s1	InChI=1S/C6H10O5/c7-1-4-6(10)5(9)3(8)2-11-4/h2,4-10H,1H2/t4-,5-,6-/m0/s1	439241	kegg_xref	C00478
cpd00389	MISMATCH	SMILE	C=CC1=C(C)/C(=C/C2=N/C(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])C(CCC(=O)[O-])=C2C)NC1=O	CC\1=C(/C(=C/C2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)[O-])/N/C1=C\C4=NC(=O)C(=C4C)C=C)CCC(=O)[O-]	25245769	chebi_xref	CHEBI:57991
cpd00389	MISMATCH	InChIKey	QBUVFDKTZJNUPP-BBROENKCSA-L	RCNSAJSGRJSBKK-NSQVQWHSSA-L	25245769	chebi_xref	CHEBI:57991
cpd00389	MISMATCH	InChI	InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,35H,1-2,9-12H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/p-2/b26-13-,27-14-,28-15-	InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,34-35H,1-2,9-12H2,3-6H3,(H,37,42)(H,38,39)(H,40,41)/p-2/b24-13-,27-14-,28-15-	25245769	chebi_xref	CHEBI:57991
cpd00423	MISMATCH	SMILE	CC1=C2N/C(=C\C3=C(CCC(=N)[O-])[C@](C)(CC(=N)O)C(=N3)C(C)=C3N[C@@](C)([C@@H]4N=C1[C@](C)(CCC(O)=NC[C@@H](C)OP(=O)(O)O[C@H]1[C@@H](O)[C@@H]([n+]5c[nH]c6cc(C)c(C)cc65)O[C@@H]1CO)[C@H]4CC(=N)[O-])[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].[Co+2]	CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co]	5460183	chebi_xref	CHEBI:16304
cpd00423	MISMATCH	InChIKey	XHIOQVZCIGODFK-HSZGVAHJSA-K	FEZWOUWWJOYMLT-DSRCUDDDSA-L	5460183	chebi_xref	CHEBI:16304
cpd00423	MISMATCH	InChI	InChI=1S/C62H90N13O14P.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;/h20-21,23,28,31,35-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H16,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);/q;+2/p-3/b42-23-;/t31-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;/m1./s1	InChI=1S/C62H90N13O14P.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56-,57+,59-,60+,61+,62+;/m1./s1	5460183	chebi_xref	CHEBI:16304
cpd00518	MISMATCH	SMILE	O=CCC=CC(=O)C(=O)[O-]	C(=C/C(=O)C(=O)O)\C=C/[O-]	70678568	chebi_xref	CHEBI:71198
cpd00518	MISMATCH	InChIKey	DDPPREQYAUMLKI-UHFFFAOYSA-M	MTOBWJUHQXQURZ-TZFCGSKZSA-M	70678568	chebi_xref	CHEBI:71198
cpd00518	MISMATCH	InChI	InChI=1S/C6H6O4/c7-4-2-1-3-5(8)6(9)10/h1,3-4H,2H2,(H,9,10)/p-1	InChI=1S/C6H6O4/c7-4-2-1-3-5(8)6(9)10/h1-4,7H,(H,9,10)/p-1/b3-1+,4-2-	70678568	chebi_xref	CHEBI:71198
cpd00524	STEREO_DIFF	SMILE	O=C1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O	[C@H]1([C@H](C(=O)[C@H]([C@@H](C1O)O)O)O)O	439294	chebi_xref	CHEBI:17811
cpd00524	STEREO_DIFF	InChIKey	VYEGBDHSGHXOGT-HYFGLKJPSA-N	VYEGBDHSGHXOGT-ZLIBEWLCSA-N	439294	chebi_xref	CHEBI:17811
cpd00524	STEREO_DIFF	InChI	InChI=1S/C6H10O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-5,7-11H/t1-,2-,3+,4+,5-	InChI=1S/C6H10O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-5,7-11H/t1?,2-,3+,4+,5-	439294	chebi_xref	CHEBI:17811
