cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	mismatch_detail
cpd32972	xenovulene A	xenovulene A	name_lookup	MISMATCH	WOFXJXDOCPYDHD-PQUNJDNZSA-N	WDFUVZRTUNQXHC-KVPIFFDFSA-N	9863607	C/C1=C\CC(C)(C)/C=C/C[C@@]2(C)OC3C(=O)C(=O)[C@H]4CO[C@H]([C@@H]34)[C@@H]2CC1	C/C/1=C\CC(/C=C/C[C@@]2([C@@H](CC1)[C@H]3[C@@H]4[C@H](CO3)C(=O)C(=C4O2)O)C)(C)C	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd33061	malvidin 3-<i>O</i>-rutinoside	malvidin 3-O-rutinoside	name_lookup	MISMATCH	OSCDICWIUZBOIY-DKJRWSDTSA-N	KKDMZZAUAIZTFK-DKJRWSDTSA-N	90657906	COc1cc(-c2oc3cc(O)cc(=O)c-3cc2O[C@@H]2O[C@H](CO[C@@H]3C[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O	C[C@@H]1C[C@H]([C@@H]([C@@H]([C@H]1O)O)O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=O)C=C(C4=C3)O)C5=CC(=C(C(=C5)OC)O)OC)O)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd23911	IO3-	IO3-	name_lookup	MISMATCH	PTYWDKBPJYCXDN-UHFFFAOYSA-N	ICIWUVCWSCSTAQ-UHFFFAOYSA-M	84927	[O-][I+2]([O-])[O-]	[O-]I(=O)=O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd24296	3-(2-hydroxy-1H-indol-3-yl)-5-(1H-indol-3-yl)-1H-pyrrole-2-carboxylate	CHEBI:90910	chebi_xref	MISMATCH	KOHOWMBWNFOZKD-UHFFFAOYSA-M	YNGCGCMGWQFYIK-UHFFFAOYSA-M	136630936	O=C([O-])c1[nH]c(-c2c[nH]c3ccccc23)cc1C1C(=O)Nc2ccccc21	C1=CC=C2C(=C1)C(=CN2)C3=CC(=C(N3)C(=O)[O-])C4=C(NC5=CC=CC=C54)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd24618	2,4,6-trioxoheptanoate	2,4,6-trioxoheptanoate	name_lookup	MISMATCH	ISIMKYLWBHJCNA-UHFFFAOYSA-M	VAKFRAZWNDUNDE-UHFFFAOYSA-M	9543053	CC(O)=CC(=O)CC(=O)C(=O)[O-]	CC(=O)CC(=O)CC(=O)C(=O)[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd24714	5-hydroxy-4,4,6-tris(3-methylbut-2-en-1-yl)-2-(2-methylpropanoyl)-3-oxocyclohexa-1,5-dien-1-olate	CHEBI:134349	chebi_xref	MISMATCH	RQJUBBUQMMWXLM-UHFFFAOYSA-M	UNCDMWKTFLUPHZ-UHFFFAOYSA-M	25202889	CC(C)=CCC1=C([O-])C(=C(O)C(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O	CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd24774	pelargonidin 3-O-beta-D-(4-coumaroyl)glucoside	pelargonidin 3-O-beta-D-p-coumaroylglucoside	name_lookup	MISMATCH	GECXRJRBKBLJAJ-OTDDKLKWSA-N	CKTUEGXAYUQFCF-OTDDKLKWSA-N	90659340	O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2cc3c(=O)cc(O)cc-3oc2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	C1=CC(=CC=C1/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=O)C=C(C4=C3)O)C5=CC=C(C=C5)O)O)O)O)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd34977	5-hydroxy-2-(2-methylbutanoyl)-4,4,6-tris(3-methylbut-2-en-1-yl)-3-oxocyclohexa-1,5-dien-1-olate	CHEBI:134352	chebi_xref	MISMATCH	WEOBUQVDXCWKHP-UHFFFAOYSA-M	QXPOWGXRDUFAQW-UHFFFAOYSA-M	124079400	CCC(C)C(O)=C1C(=O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(CC=C(C)C)=C1[O-]	CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)[O-]	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd35001	(2R,4E)-2-amino-5-({[(2S,3R)-2-hydroxy-3-(1H-indol-3-yl)butanamido]methanimidoyl}amino)pent-4-enoate	(2R,4E)-2-amino-5-({[(2S,3R)-2-hydroxy-3-(1H-indol-3-yl)butanamido]methanimidoyl}amino)pent-4-enoate	name_lookup	MISMATCH	CTEYPPOHFXYGJR-DGFSRKRXSA-N	XIEXSAVJORFUFN-UMVKEKTISA-N	122706531	C[C@H](c1c[nH]c2ccccc12)[C@H](O)C(=O)NC(=N)N=CCC[C@H]([NH3+])C(=O)[O-]	C[C@H](C1=CNC2=CC=CC=C21)[C@@H](C(=O)NC(=N/C=C/C[C@@H](C(=O)[O-])[NH3+])N)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd35068	andiconin	andiconin	name_lookup	MISMATCH	MGXGDOCTIYHYMG-SJCPBWDLSA-N	PIZDGYFPLPPVBP-NPEZIVKXSA-N	91820403	CC1(C)C(=O)C=C[C@@]2(C)[C@H]1CC[C@]13C[C@]4(C)C(=O)[C@](C)(C[C@@H]21)[C@]31COC(=O)C1=C4O	C[C@@]12C[C@H]3[C@]4(C=CC(=O)C([C@@H]4CC[C@@]35[C@@]16COC(=O)[C@H]6C(=O)[C@](C5)(C2=O)C)(C)C)C	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
